abciximab;acyclovir;alteplase;amiodarone;amlodipine;amoxicillin;ampicillin;angiotensin II;argatroban;aspirin;atorvastatin;atracurium;azithromycin;bisacodyl;bivalirudin;bumetanide;captopril;carvedilol;cefazolin;cefepime;ceftazidime;ceftriaxone;ciprofloxacin;cisatracurium;clindamycin;clonazepam;clonidine;desmopressin;dexamethasone;dexmedetomidine;diltiazem;diphenhydramine;dobutamine;dopamine;enoximone;epinephrine;epoprostenol;eptifibatide;erythromycin;esmolol;felodipine;fentanyl;fluconazole;flumazenil;furosemide;gentamicin;glycopyrronium;haloperidol;heparin;hydrocodone;hydromorphone;hypromellose;ketamine;ketorolac;lansoprazole;lepirudin;levetiracetam;levofloxacin;lidocaine;linezolid;lorazepam;meropenem;methadone;methylprednisolone;metoclopramide;metronidazole;micafungin;midazolam;milrinone;mirtazapine;morphine;neostigmine;nesiritide;nicardipine;nimodipine;nitroglycerin;nitroprusside;norepinephrine;octreotide;pancuronium;pentobarbital;phenylephrine;phenytoin;piperacillin;procainamide;propofol;ranitidine;rocuronium;simvastatin;spironolactone;succinylcholine;sufentanil;sulfamethoxazole;thiopental;tirofiban;tramadol;tranexamic acid;treprostinil;triamterene;vancomycin;vasopressin (USP);vecuronium;warfarin;xylometazoline
;;;;TELMIDUO PLUS;MOXIBLE NEO;;;;Aspirine Ea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Woodward's;;;;;;;;;;;;;;;;;;;;;;;Tussex;;;;;;;;;;;;;;HANTRACET;;;;;;;;
;;;;TREBLE;MOXICLAN DUO;;;;Aspirine Hp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Strepsils;;;;;;;;;;;;;;;;;;;;;;;HistamaxD;;;;;;;;;;;;;;HUMEDIX TRAMADOL HCL;;;;;;;;
;;;;TRIFLOW;MOXICRAN;;;;Aspirine P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Haemorrhoid Relief;;;;;;;;;;;;;;;;;;;;;;;Phlemex-PE;;;;;;;;;;;;;;HUTRADOL;;;;;;;;
;;;;TRI IN ONE;MOXITAM;;;;Aspirine Px;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Germoloids;;;;;;;;;;;;;;;;;;;;;;;Guaphen II DM;;;;;;;;;;;;;;TRA-CR;;;;;;;;
;;;;TROIKA;PLEMING NEO;;;;Aspirine Ra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hemocane;;;;;;;;;;;;;;;;;;;;;;;MonteFlu HC;;;;;;;;;;;;;;TROL;;;;;;;;
;;;;TWINCID;SULPIBACTAM;;;;Aspirine Th;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Depo-Medrone;;;;;;;;;;;;;;;;;;;;;;;Mintuss MS;;;;;;;;;;;;;;ULTRACET SEMI;;;;;;;;
;;;;TWINSTEL;A-CLAN NEO;;;;Ass 1a Pharma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Perinal;;;;;;;;;;;;;;;;;;;;;;;Liquicough HC;;;;;;;;;;;;;;WONTRAN SEMI;;;;;;;;
;;;;TWOTWO STAR;Almodan;;;;Ass Ct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Versatis;;;;;;;;;;;;;;;;;;;;;;;DMax;;;;;;;;;;;;;;ZIPAN;;;;;;;;
;;;;TWOVIKAR;Amrit;;;;Ass Dexcel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Borraza;;;;;;;;;;;;;;;;;;;;;;;Execof;;;;;;;;;;;;;;TORANZIN;;;;;;;;
;;;;UNASCA;Galenamox;;;;Ass Fair Med;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Satohap Lidocaine;;;;;;;;;;;;;;;;;;;;;;;Vazotan;;;;;;;;;;;;;;TRAFLEM;;;;;;;;
;;;;UNIROPIN;Rimoxallin;;;;Ass Light;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Epilido;;;;;;;;;;;;;;;;;;;;;;;Exetuss HC;;;;;;;;;;;;;;TRAMADOL HCL;;;;;;;;
;;;;VIKARONCE;amopen;;;;Ass Luenpharm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yuluoshu;;;;;;;;;;;;;;;;;;;;;;;Sudafed PE Sinus & Allergy;;;;;;;;;;;;;;TRAMAPEN;;;;;;;;
;;;;Lotrel;Amoxicot;;;;Ass Molimin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Aoerfen;;;;;;;;;;;;;;;;;;;;;;;Nexphen PD;;;;;;;;;;;;;;TRIMAPHEN;;;;;;;;
;;;;Amlostin;Amoxil;;;;Ass Pav;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gold Bond Medicated Pain and Itch Relief;;;;;;;;;;;;;;;;;;;;;;;Pediatan D;;;;;;;;;;;;;;ULCET SEMI;;;;;;;;
;;;;Sevikar;Amoxil Fiztab;;;;Ass Ratiopharm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Linisol;;;;;;;;;;;;;;;;;;;;;;;Reluri;;;;;;;;;;;;;;WELTRA;;;;;;;;
;;;;Luohuoxi;Moxilin;;;;Ass Recip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oro Rhinathiol;;;;;;;;;;;;;;;;;;;;;;;Deconsal CT;;;;;;;;;;;;;;X-PAIN ER SEMI;;;;;;;;
;;;;Shihuida;Amoxicillinan;;;;Cc Forte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Children's;;;;;;;;;;;;;;;;;;;;;;;Poly Hist HC;;;;;;;;;;;;;;OLFEN;;;;;;;;
;;;;Amlodipine Krka;Amoclan;;;;Contradol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cal;;;;;;;;;;;;;;;;;;;;;;;Aldex D;;;;;;;;;;;;;;PARAMACET SEMI;;;;;;;;
;;;;Lipertance;Amolin;;;;Contrheuma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Buccoverso;;;;;;;;;;;;;;;;;;;;;;;Nariz HC;;;;;;;;;;;;;;PENASET SEMI;;;;;;;;
;;;;Olmesartan / Amlodipine Teva;Yisalin;;;;Dolofugin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hush;;;;;;;;;;;;;;;;;;;;;;;Tusso DM;;;;;;;;;;;;;;PENCLEAR MAX;;;;;;;;
;;;;Amlodigamma;Zailin;;;;Dolomo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lido King;;;;;;;;;;;;;;;;;;;;;;;Duratuss PE;;;;;;;;;;;;;;TRAMAPEN SEMI;;;;;;;;
;;;;Amlodipin Basics;Libaiting;;;;Docmorris Paracetamol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pro Pet Skin Relief;;;;;;;;;;;;;;;;;;;;;;;Quadra-Hist D;;;;;;;;;;;;;;TRAMIPHEN SEMI;;;;;;;;
;;;;Amlodipin Fair Med;Tefumeng;;;;Docpelin Paracetamol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ana-Lex;;;;;;;;;;;;;;;;;;;;;;;Pancof-PD;;;;;;;;;;;;;;ULTRAN SEMI;;;;;;;;
;;;;Amlodipin Kwizda;Anqi;;;;Erkaeltungspaket Ratiopharm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Anestafoam;;;;;;;;;;;;;;;;;;;;;;;NUDAL HD;;;;;;;;;;;;;;BIODALGIC;;;;;;;;
;;;;Amlodipin Pharma;Talicia;;;;Ha Etten S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Scar Zone Burn Relief;;;;;;;;;;;;;;;;;;;;;;;Zotex-GP;;;;;;;;;;;;;;TRAMADOL EG;;;;;;;;
;;;;Amlo Isis;Amoxi Drop;;;;Gute Besserung Ernstfall Ratiopharm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Numb Nuts;;;;;;;;;;;;;;;;;;;;;;;Pyrilafen Tannate 12;;;;;;;;;;;;;;TRAMADOL EVOLUGEN;;;;;;;;
;;;;Amlo Q;Clavamox;;;;Godasal Ass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Depo-Medrone with Lidocaine;;;;;;;;;;;;;;;;;;;;;;;Ricobid D;;;;;;;;;;;;;;TRAMADOL LAVOISIER;;;;;;;;
;;;;Bisodipin;Augmentin-Duo;;;;Gepan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fortacin;;;;;;;;;;;;;;;;;;;;;;;Qual Tussin;;;;;;;;;;;;;;TRAMADOL MYLAN;;;;;;;;
;;;;Losamlo;Amoxicillin Micro Labs;;;;Gelonida;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Anaesthesin;;;;;;;;;;;;;;;;;;;;;;;Panatuss;;;;;;;;;;;;;;TRAMADOL PARACETAMOL EVOLUGEN;;;;;;;;
;;;;Rasilamlo;Amoxiclav Accedo;;;;Gesund Leben;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ambene;;;;;;;;;;;;;;;;;;;;;;;KL-162;;;;;;;;;;;;;;TRAMADOL ZYDUS;;;;;;;;
;;;;BESFORGE;Amoxiclav Awd;;;;Herbin Stodin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Aristasept;;;;;;;;;;;;;;;;;;;;;;;Ralix;;;;;;;;;;;;;;TRAMADOL/PARACETAMOL SANDOZ;;;;;;;;
;;;;BIFORGE;Amoxypen;;;;Herz Ass 1a Pharma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Corti Attritin;;;;;;;;;;;;;;;;;;;;;;;Exratuss;;;;;;;;;;;;;;TRAMADOL/PARACETAMOL ZENTIVA;;;;;;;;
;;;;AMLOBETINE;Amoxclav Hexal;;;;Julphar Dol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Demoplas;;;;;;;;;;;;;;;;;;;;;;;Nalex-A 12;;;;;;;;;;;;;;MONOTRAMAL L;;;;;;;;
;;;;AMLOTAN;Amoxi Diol;;;;Malinert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dexa Clinit;;;;;;;;;;;;;;;;;;;;;;;Quintex HS;;;;;;;;;;;;;;ZALDIAR;;;;;;;;
;;;;AMLOTENSION-S;Amoxi Hp;;;;Mandros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dexa Phlogont;;;;;;;;;;;;;;;;;;;;;;;M-End Max;;;;;;;;;;;;;;Lodam;;;;;;;;
;;;;BEARDIPINE;Amoxi Infant;;;;Micristin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dolo Tendin;;;;;;;;;;;;;;;;;;;;;;;Pediatex CT;;;;;;;;;;;;;;Tramal;;;;;;;;
;;;;COSALTAN-X;Amoxi Puren Hp;;;;Menostabil Ass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Farcosedan;;;;;;;;;;;;;;;;;;;;;;;Sudafed PE Nighttime Decongestant;;;;;;;;;;;;;;Algocid;;;;;;;;
;;;;DAVIROAD;Amoxi Sanorania;;;;Miniasal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Haemo;;;;;;;;;;;;;;;;;;;;;;;Quala HC;;;;;;;;;;;;;;Tramadol Abz;;;;;;;;
;;;;DISFORGE;Byk Amoxicillin;;;;Nedolon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Irgapyrin;;;;;;;;;;;;;;;;;;;;;;;Tylenol Allergy Multi-Symptom Nighttime;;;;;;;;;;;;;;Tramadol Stada;;;;;;;;
;;;;DUORIX;Cillimox;;;;Ompact;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kamistad;;;;;;;;;;;;;;;;;;;;;;;PediaCare Children's NightRest Multi-Symptom Cold;;;;;;;;;;;;;;Apo-Tramadol;;;;;;;;
;;;;ENYDIPINE;Espa Moxin;;;;Optalidon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Leukase;;;;;;;;;;;;;;;;;;;;;;;Comtrex Cold and Cough Non Drowsy;;;;;;;;;;;;;;Durela;;;;;;;;
;;;;HUNIZ AMLODIPINE MALEATE;Helicomp;;;;Paracetamol Ct;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lido Deltamedica;;;;;;;;;;;;;;;;;;;;;;;Baltussin HC;;;;;;;;;;;;;;Ran-Tramadol/Acet;;;;;;;;
;;;;LEGOFORGE;Infectoramox;;;;Romigal Ass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lidocain Rotexmedica;;;;;;;;;;;;;;;;;;;;;;;Coryza-DM;;;;;;;;;;;;;;Ralivia;;;;;;;;
;;;;LIPODIPIN;Jutamox;;;;Romigal N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Meta Attritin;;;;;;;;;;;;;;;;;;;;;;;Ala-Hist AC;;;;;;;;;;;;;;Pat-Tramadol/Acet;;;;;;;;
;;;;MAXSARTAN;Jephoxin;;;;Stodinal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Medivarsin;;;;;;;;;;;;;;;;;;;;;;;Zicam Flu Nighttime;;;;;;;;;;;;;;Tramaphen-Odan;;;;;;;;
;;;;NEOZALTAN;Pantopac;;;;Sp Plus Coffein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Neo Lidocaton;;;;;;;;;;;;;;;;;;;;;;;BroveX PEB DM;;;;;;;;;;;;;;Taro-Tramadol Er;;;;;;;;
;;;;NP FORGE;Ospamox;;;;Spasmo Dolviran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Novirell;;;;;;;;;;;;;;;;;;;;;;;Maxichlor PEH DM;;;;;;;;;;;;;;;;;;;;;;
;;;;REXFORGE Q;Sigamopen;;;;Thomapyrin Akut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Penis Marathon;;;;;;;;;;;;;;;;;;;;;;;Endal CD;;;;;;;;;;;;;;;;;;;;;;
;;;;S AMLOMIN;Zamocillin;;;;Tempil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Psychoneuroticum;;;;;;;;;;;;;;;;;;;;;;;Tylenol Infants Cold Plus Cough Reformulated Sep 2008;;;;;;;;;;;;;;;;;;;;;;
;;;;SAB;Amoxi-tabs;;;;Veralgit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Recto Betnesol;;;;;;;;;;;;;;;;;;;;;;;AlleRx PE AM;;;;;;;;;;;;;;;;;;;;;;
;;;;S-AMLODIX;AMOREX NEO;;;;BC Original Formula;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rectoparin;;;;;;;;;;;;;;;;;;;;;;;AlleRx PE PM;;;;;;;;;;;;;;;;;;;;;;
;;;;SEOUL AMLODIPINE BESYLATE;ANYCLA;;;;ASAPUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Uromontavit;;;;;;;;;;;;;;;;;;;;;;;Galpharm Flu-Max All-In-One Chesty Cough & Cold;;;;;;;;;;;;;;;;;;;;;;
;;;;SEVIACT;BACTAMOXIN;;;;ASPID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ultra Demoplas Pfz;;;;;;;;;;;;;;;;;;;;;;;Beechams Cold and Flu Hot Lemon and Honey;;;;;;;;;;;;;;;;;;;;;;
;;;;SEVILOTEN;CLAMENTIN;;;;CLOPIRIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lonqtiv;;;;;;;;;;;;;;;;;;;;;;;Nurofen;;;;;;;;;;;;;;;;;;;;;;
;;;;TEMISTA;CLAMOCIL DUO;;;;HAWON ASPIRIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Recticare;;;;;;;;;;;;;;;;;;;;;;;Boots Blocked se & Headache Relief;;;;;;;;;;;;;;;;;;;;;;
;;;;TUSTAPIN;CRAMON DUO;;;;HUROPIRIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lidopatch;;;;;;;;;;;;;;;;;;;;;;;Boots Blocked se Relief;;;;;;;;;;;;;;;;;;;;;;
;;;;TWYN-ONE;DUONEX;;;;KWANGDONG ASPIRIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lidovir;;;;;;;;;;;;;;;;;;;;;;;Minims phenylephrine hydrochloride;;;;;;;;;;;;;;;;;;;;;;
;;;;VALSADIPINE;EMOX;;;;PRETO PLUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sonacaine;;;;;;;;;;;;;;;;;;;;;;;Lemsip Cough Max for Chesty Cough & Cold;;;;;;;;;;;;;;;;;;;;;;
;;;;AMLO ONE;ICILLIN;;;;UNION ASPIRIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Healerz for Noses;;;;;;;;;;;;;;;;;;;;;;;Beechams;;;;;;;;;;;;;;;;;;;;;;
;;;;AMLOBIS;LACTAMOX;;;;VASOPIRIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Medi-Derm with Lidocaine;;;;;;;;;;;;;;;;;;;;;;;Lloydspharmacy Max Strength Cold & Flu;;;;;;;;;;;;;;;;;;;;;;
;;;;AMLOSTAR;LIUMOX;;;;ENTAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SUNGKWANG LIDOCAINE HCL;;;;;;;;;;;;;;;;;;;;;;;RectiCare Advanced Wipes;;;;;;;;;;;;;;;;;;;;;;
;;;;AMLOTEL;MARTIN;;;;ETEX ASPIRIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIDOCAINE HCL EPINEPHRINE HUONS;;;;;;;;;;;;;;;;;;;;;;;Rhinathiol Antirhinitis;;;;;;;;;;;;;;;;;;;;;;
;;;;BEARDIPINE-S;MOXAMENTIN NEO;;;;HANMI ASPIRIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SAMJIN LIDOCAINE HCL HYDRATE;;;;;;;;;;;;;;;;;;;;;;;Alahist D;;;;;;;;;;;;;;;;;;;;;;
;;;;CADUEL;MOXICLE DUO;;;;ARIGREL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIDOCAINE HCL HUONS;;;;;;;;;;;;;;;;;;;;;;;Drihist;;;;;;;;;;;;;;;;;;;;;;
;;;;CANSTAR-X;POTACIN DUO;;;;ASGREL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NOVOCOL;;;;;;;;;;;;;;;;;;;;;;;Liquitussin HC;;;;;;;;;;;;;;;;;;;;;;
;;;;CARDIFORGE;UROBACTAM;;;;ASTERIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dr. Numb;;;;;;;;;;;;;;;;;;;;;;;Medicone Hemorrhoidal;;;;;;;;;;;;;;;;;;;;;;
;;;;CRB;ZAKUTEX NEO;;;;CHODANG ASPIRIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CIRKAN;;;;;;;;;;;;;;;;;;;;;;;Tylenol Cold Multi-Symptom Severe Daytime;;;;;;;;;;;;;;;;;;;;;;
;;;;DUE A;AMOCLA NEO;;;;CLOSPIRIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIDOCAINE/PRILOCAINE AGUETTANT;;;;;;;;;;;;;;;;;;;;;;;Dime Time;;;;;;;;;;;;;;;;;;;;;;
;;;;EVASC;AMOLANIC DUO;;;;CMG ASPIRIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIDOCAINE/PRILOCAINE ZENTIVA;;;;;;;;;;;;;;;;;;;;;;;Poly Hist DHC;;;;;;;;;;;;;;;;;;;;;;
;;;;EX V;AMOMETIN;;;;PRIME ASPIRIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EUPHONYLL MAUX DE GORGE CETYLPYRIDINIUM LIDOCAINE SANS SUCRE;;;;;;;;;;;;;;;;;;;;;;;Theraflu Nighttime Severe Cold & Cough;;;;;;;;;;;;;;;;;;;;;;
;;;;HAVIKAR;AMOXCLAN NEO;;;;RHONAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PULPARTHROL;;;;;;;;;;;;;;;;;;;;;;;Airacof;;;;;;;;;;;;;;;;;;;;;;
;;;;AJUSTA;AUMECRA;;;;PLAVIX A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MESOCAINE;;;;;;;;;;;;;;;;;;;;;;;Sudafed PE Triple Action;;;;;;;;;;;;;;;;;;;;;;
;;;;AMODITAN;CLADUS;;;;SAMIK ASPIRIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;XOGEL ADULTE;;;;;;;;;;;;;;;;;;;;;;;TL-Hist CD;;;;;;;;;;;;;;;;;;;;;;
;;;;AMOSAR;CLAMOXIN;;;;ACERIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HUMEX;;;;;;;;;;;;;;;;;;;;;;;Formulation R Ointment;;;;;;;;;;;;;;;;;;;;;;
;;;;AMPIBESYL;DUOSULTAM;;;;ACLORIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OSMOGEL;;;;;;;;;;;;;;;;;;;;;;;Advil Congestion Relief;;;;;;;;;;;;;;;;;;;;;;
;;;;AMVASTIN;HYCLA NEO;;;;ALPIRIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OTIPAX;;;;;;;;;;;;;;;;;;;;;;;T Koff;;;;;;;;;;;;;;;;;;;;;;
;;;;ARD;ICILLIN DUO;;;;ASPIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Co-Phenylcaine;;;;;;;;;;;;;;;;;;;;;;;Zotex C;;;;;;;;;;;;;;;;;;;;;;
;;;;ASYLDOPINE;ACLANTIS DUO;;;;CLOGREEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Logicin Rapid Relief;;;;;;;;;;;;;;;;;;;;;;;Corzall-PE;;;;;;;;;;;;;;;;;;;;;;
;;;;BESYLOPINE;AMOREX;;;;TROMVIX A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paxyl;;;;;;;;;;;;;;;;;;;;;;;XiraHist DM;;;;;;;;;;;;;;;;;;;;;;
;;;;CADUESTIN;AMOXIYEON DUO;;;;YUHAN ASPIRIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Soov;;;;;;;;;;;;;;;;;;;;;;;C Hist;;;;;;;;;;;;;;;;;;;;;;
;;;;CALBLOCK;ANIMOX;;;;RINPIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lenzapatch;;;;;;;;;;;;;;;;;;;;;;;Poly Hist Forte Reformulated Oct 2010;;;;;;;;;;;;;;;;;;;;;;
;;;;CARODIET;AUGUCILLIN DUO;;;;SHINPOONG ASPIRIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Allercaine;;;;;;;;;;;;;;;;;;;;;;;Centergy DM;;;;;;;;;;;;;;;;;;;;;;
;;;;COLDUET;BICLA;;;;Backaid IPF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lidostat;;;;;;;;;;;;;;;;;;;;;;;Sinex;;;;;;;;;;;;;;;;;;;;;;
;;;;DUISTA;CLAMOXIN DUO;;;;CEPHYL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Acoin;;;;;;;;;;;;;;;;;;;;;;;Sinutab Sinus;;;;;;;;;;;;;;;;;;;;;;
;;;;DUODIPIN;GUMENTIN NEO;;;;ASPIRINE DU RHONE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Audela;;;;;;;;;;;;;;;;;;;;;;;Nasotuss;;;;;;;;;;;;;;;;;;;;;;
;;;;K-DUET;HWAMOCLE;;;;ASPIRINE PROTECT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dolocupin;;;;;;;;;;;;;;;;;;;;;;;DayQuil Sinex;;;;;;;;;;;;;;;;;;;;;;
;;;;LOWDIPINE;ICILLIN S;;;;ASPIRINE UPSA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lidocain Braun;;;;;;;;;;;;;;;;;;;;;;;Alka-Seltzer Plus Day Cold;;;;;;;;;;;;;;;;;;;;;;
;;;;LOWVIKAR;I-MOXIL;;;;ASPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lidocain-Engelhard;;;;;;;;;;;;;;;;;;;;;;;Pyrroxate Cold & Congestion;;;;;;;;;;;;;;;;;;;;;;
;;;;MELODIPINE;INSICLAN NEO;;;;ASPROFLASH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Penis-Eja-Stop;;;;;;;;;;;;;;;;;;;;;;;Refenesen Chest Congestion & Pain Relief PE;;;;;;;;;;;;;;;;;;;;;;
